cell_id,arm,bars,seed,primary_episodes,primary_capture,primary_crash,primary_timeout,legacy_episodes,legacy_capture,legacy_crash,legacy_timeout,raw_ledger_rows,nonprimary_tail_rows,rows_sha256,duration_s
H_historical__70bars__seed4108,H_historical,70,4108,2048,1864,126,58,2050,1885,122,43,3310,1262,938e5ce44ab5735b21260e2f1b0f6b405975952a7cfd5679a38110bf233a6428,294
E0_static__70bars__seed4108,E0_static,70,4108,2048,1727,125,196,2048,1767,125,156,3932,1884,4f8c2a8c661ec4017569e8080796ecc6c8f296be6667f86e887fe9a10e66343c,396
E1_cv__70bars__seed4108,E1_cv,70,4108,2048,1790,149,109,2048,1818,144,86,4122,2074,49cf933718a5e8e1de0be67fc3259fdc6a5fbbf40ee5a71f1cca99843f69bf72,427
E2_obstacle_aware__70bars__seed4108,E2_obstacle_aware,70,4108,2048,1912,115,21,2050,1924,111,15,3477,1429,790199a57e9c1e9bc12376215301b92e02facd5eef041793a7545a17f0e63773,282
H_historical__115bars__seed4108,H_historical,115,4108,2048,1833,143,72,2048,1841,149,58,3626,1578,e9f8108281aed3b43967692ebc8b9046369251efc9bbbd23c4dfd027a3aa4a5e,381
E0_static__115bars__seed4108,E0_static,115,4108,2048,1724,141,183,2048,1762,133,153,3689,1641,d4a7610aaa9239936b6ca5a54b69f8e6d848890b106604f6cd72f25a8974df6f,422
E1_cv__115bars__seed4108,E1_cv,115,4108,2048,1793,156,99,2048,1808,159,81,4014,1966,978608fcc999790a2ba18a0bc9ad8c5fcfc59258cf91f065750f5056eb1ec8fe,477
E2_obstacle_aware__115bars__seed4108,E2_obstacle_aware,115,4108,2048,1899,130,19,2048,1904,129,15,3942,1894,383b9a1cc9cc1d6bf506246f920190876913b0df96a85d1522603b537a43827b,373
H_historical__160bars__seed4108,H_historical,160,4108,2048,1798,187,63,2049,1802,192,55,3448,1400,6e3d0b4212787c32649a0ed318f04bcf8aa5a23ccc1a0c050691856d623a3cdc,410
E0_static__160bars__seed4108,E0_static,160,4108,2048,1684,173,191,2048,1712,176,160,3455,1407,b980d416a635f67f6a649753d45fbc6e8376b83dba70ad4124df026e6bbfd6fa,458
E1_cv__160bars__seed4108,E1_cv,160,4108,2048,1701,202,145,2048,1719,209,120,3559,1511,8b7fd95094996c1af27128769cf7768114522585943c08bc4863269c2684a34e,478
E2_obstacle_aware__160bars__seed4108,E2_obstacle_aware,160,4108,2048,1796,212,40,2048,1799,221,28,3225,1177,241d64bdddb64c682a1672a0e807411c079c13c1cf515d423d2c38957adbbee6,363
H_historical__205bars__seed4108,H_historical,205,4108,2048,1712,288,48,2049,1726,285,38,3674,1626,9ad4961dda25d3bda9347c996ef600ff74e53c323ac0dec5c2f4ff073e5252a1,478
E0_static__205bars__seed4108,E0_static,205,4108,2048,1610,292,146,2048,1628,297,123,3926,1878,e63ea8d733d79d9346f1b7650893cc848317480968718634a0f99b3feefa29b9,558
E1_cv__205bars__seed4108,E1_cv,205,4108,2048,1623,311,114,2049,1636,319,94,3276,1228,62e14794d77e632b923056a42652bed2bbcde0b590b975dca06b885baebb28dd,482
E2_obstacle_aware__205bars__seed4108,E2_obstacle_aware,205,4108,2048,1676,347,25,2048,1673,355,20,3251,1203,6fa4d3b100d8bd1ecb62300ea263e13eacffefffba0c15e1510563de465665e4,412
H_historical__70bars__seed4109,H_historical,70,4109,2048,1897,94,57,2048,1894,105,49,3451,1403,4a921aa773d4cbbf7f23668637c74878e3407fb6ce35a7069c261547cb498c57,314
E0_static__70bars__seed4109,E0_static,70,4109,2048,1709,150,189,2049,1745,155,149,4363,2315,11bdcf90bb1287129e0478addf1b7aa5d0cf10b3ef6d1541f5b5baa8a0844168,433
